,source,target,cosine,min_matches
0,2,7,0.794817014674989,15
1,3,4,0.7331482078638334,18
2,3,81,0.7339564584597319,16
3,7,69,0.7302571868162446,14
4,7,161,0.7250238939135408,10
5,7,440,0.7071967371421272,14
6,8,15,0.9922764229079774,44
7,10,28,0.9955022679366634,18
8,10,42,0.9957360636230139,18
9,10,55,0.9884449107100288,15
10,10,65,0.9493913328679388,12
11,10,93,0.9922192091833338,17
12,10,157,0.9738464078217691,14
13,10,292,0.9559715577040981,10
14,10,315,0.959420694161862,10
15,10,471,0.9944732426972805,16
16,12,95,0.8164607958961487,28
17,13,258,0.968620230917973,11
18,17,31,0.7164761841508795,39
19,17,33,0.836818358411094,33
20,17,108,0.8518334261771061,41
21,17,120,0.8527763732604331,28
22,17,149,0.8046171346042426,44
23,18,196,0.8968055632106069,13
24,18,200,0.9222327551909246,17
25,19,88,0.7403210684072263,21
26,19,92,0.799846439798754,35
27,19,180,0.7283900234137404,12
28,19,331,0.7244299553925488,23
29,21,262,0.9715688248690126,16
30,24,153,0.8386397231921532,51
31,24,440,0.7562131456598489,23
32,28,42,0.9934838714537462,16
33,28,55,0.9917118068319585,13
34,28,65,0.9469158133612781,12
35,28,93,0.9936697533005098,16
36,28,157,0.9800591174775112,14
37,28,315,0.9693812239787115,10
38,28,471,0.9943161033067837,16
39,31,84,0.7139552248785946,26
40,31,625,0.7336886363067832,16
41,33,88,0.7194407464565701,16
42,33,92,0.7237358405634725,21
43,33,108,0.8105972386813132,24
44,33,120,0.8206206268721612,21
45,33,149,0.8296106398123615,23
46,42,55,0.9811027407966951,16
47,42,65,0.9405241057296497,11
48,42,93,0.9871960006107239,15
49,42,157,0.9667045254639743,12
50,42,292,0.9502430804953389,11
51,42,315,0.9621040943355496,10
52,42,471,0.9927191551027884,15
53,47,201,0.9517774159055715,23
54,53,60,0.9920961228957738,33
55,53,131,0.8140657761716749,32
56,53,313,0.8454008193328517,19
57,53,371,0.7447366983723469,20
58,55,93,0.9914159816865743,14
59,55,157,0.9922849190883098,10
60,55,315,0.9690799730689439,10
61,55,471,0.9825608456482211,12
62,58,99,0.7894836493192007,19
63,60,131,0.8126565202546736,33
64,60,313,0.833913267053365,18
65,60,371,0.7467265761901174,20
66,61,176,0.7748138184527428,59
67,61,313,0.8764895880849825,19
68,61,417,0.7920935496278224,30
69,64,186,0.9027347997684548,15
70,65,93,0.9424744724705392,10
71,67,359,0.9795452629914797,14
72,69,161,0.8926951514102582,10
73,69,186,0.7056770159681365,15
74,74,105,0.9787270449782886,10
75,74,164,0.9607907540877477,12
76,75,188,0.9350514716166679,25
77,84,92,0.7863617566281927,36
78,84,108,0.7481169907760926,31
79,84,120,0.7021706249974711,23
80,84,149,0.7086561267891113,34
81,84,331,0.7136235415505656,25
82,84,625,0.8626747921029693,19
83,88,92,0.71250331955956,19
84,88,149,0.7920062314377587,19
85,88,180,0.7049306168637556,11
86,90,305,0.8068289669345763,10
87,92,108,0.7522360757615217,31
88,92,149,0.750949735024705,38
89,92,180,0.8010635767956427,11
90,92,331,0.8691566218386628,27
91,92,625,0.7067600005369503,15
92,93,157,0.9818410556558231,14
93,93,315,0.9719624798242408,10
94,93,471,0.9931402383841055,16
95,98,230,0.9152422885057809,16
96,98,327,0.9619781036456608,19
97,98,337,0.8946266102998792,17
98,98,444,0.926784157680892,14
99,102,334,0.9695230739612022,19
100,104,175,0.9574073048903301,17
101,105,164,0.953258185768541,11
102,108,120,0.8002379750669968,21
103,108,149,0.8828536101937552,37
104,110,281,0.9654829844129051,22
105,118,263,0.9668732146587268,19
106,118,314,0.9738243702736389,17
107,118,406,0.91236515677018,13
108,118,530,0.9672565575421878,10
109,120,149,0.7725852667241365,22
110,127,567,0.9330554246789613,13
111,131,313,0.7036713827901004,18
112,131,371,0.915574074116303,28
113,149,180,0.7113369018487292,11
114,153,440,0.8289579692115436,24
115,157,315,0.9728949098401417,11
116,157,471,0.9691538033672986,15
117,168,453,0.7217593656549104,11
118,169,317,0.7488942233836459,12
119,169,424,0.8525288001381747,12
120,176,417,0.7074661619409248,43
121,177,667,0.993458382682451,11
122,192,577,0.7804963394803132,10
123,196,200,0.9270063835250878,22
124,199,299,0.7597217834564407,20
125,214,216,0.7687146774068512,26
126,226,499,0.790666826344191,24
127,230,327,0.9451285696865955,16
128,230,337,0.8511493298458237,17
129,230,444,0.8605012962834684,14
130,239,538,0.8384662162545401,25
131,253,497,0.9415823529319615,12
132,253,585,0.8453850837908913,11
133,253,592,0.9079259640152428,14
134,263,314,0.9775278009948758,16
135,263,406,0.8864112707826631,12
136,274,374,0.7834434439671909,10
137,274,470,0.9700654477905041,27
138,274,515,0.8843599595850424,10
139,274,630,0.9451145465349751,11
140,274,654,0.8063386496680969,26
141,274,655,0.9708474054882382,21
142,274,663,0.9169697812831331,27
143,274,670,0.9423586876768828,10
144,274,672,0.9459763027514573,14
145,280,373,0.9808408960014801,15
146,280,374,0.7606624231680389,14
147,280,414,0.7631544890455566,20
148,280,470,0.7831970752461825,11
149,280,515,0.8527353998140375,10
150,280,643,0.8707907608949628,14
151,281,294,0.7102307068365148,12
152,289,567,0.8627593001669324,12
153,314,406,0.8860505648190747,13
154,315,471,0.9642865877256189,10
155,327,337,0.8719863020581533,15
156,327,444,0.923083156345965,13
157,337,444,0.8469265423033789,12
158,351,369,0.9740484655874786,44
159,361,398,0.9989713432852407,12
160,361,430,0.9991361593664683,13
161,361,433,0.9987151799810289,12
162,361,435,0.999317428036623,13
163,361,463,0.9993431985807845,13
164,361,466,0.9990608914825841,13
165,361,512,0.9986288640094256,12
166,361,520,0.9992759572367866,13
167,361,608,0.9986280216906315,11
168,368,524,0.9766870842582785,36
169,373,470,0.8222917376591656,12
170,373,643,0.7923163072177641,12
171,373,663,0.7237355757889089,12
172,374,470,0.7055192594851878,11
173,374,515,0.952232604646537,25
174,374,634,0.8883344397763235,12
175,374,661,0.8882911474183833,28
176,383,413,0.923789822428852,13
177,396,453,0.9597121464709345,18
178,396,504,0.7172719919012244,15
179,398,430,0.9998228658801366,12
180,398,433,0.9992907288193673,11
181,398,435,0.9995981135981564,12
182,398,463,0.999625893222217,12
183,398,466,0.999737296867338,12
184,398,512,0.999638452805015,11
185,398,520,0.9996729892463186,12
186,398,608,0.9997018769882009,11
187,404,587,0.7199811001075043,11
188,414,580,0.9178238324687572,15
189,414,643,0.8910650415791501,13
190,428,534,0.7584748623769811,18
191,430,433,0.9992519810778245,12
192,430,435,0.9997186448545969,13
193,430,463,0.9997962090366314,13
194,430,466,0.9997575282473417,13
195,430,512,0.9997202391942067,12
196,430,520,0.9997151847683525,13
197,430,608,0.9995986434098554,11
198,433,435,0.9992488548347227,12
199,433,463,0.9992484517215224,12
200,433,466,0.9994498551584358,13
201,433,512,0.9992232939359893,11
202,433,520,0.9993069496136044,13
203,433,608,0.9993910498494555,11
204,435,463,0.9997220118128722,13
205,435,466,0.9996167718632394,13
206,435,512,0.9996473102589732,12
207,435,520,0.9996146878154379,13
208,435,608,0.9995855499733233,11
209,463,466,0.9995256429453269,13
210,463,512,0.9996410487204098,12
211,463,520,0.9997720204265993,13
212,463,608,0.9993969787858317,11
213,466,512,0.999651530122135,12
214,466,520,0.9997884836245695,15
215,466,608,0.999663109758153,11
216,470,515,0.7966354893824397,12
217,470,630,0.8580781703540112,13
218,470,654,0.846783020034219,30
219,470,655,0.945522636923761,22
220,470,663,0.9589447340125614,31
221,470,670,0.8534173503745374,11
222,470,672,0.8591832075360776,15
223,497,585,0.8395924267086621,10
224,497,592,0.9407899563563519,12
225,512,520,0.9995511079003321,12
226,512,608,0.9995907911850228,10
227,515,661,0.8570700772757894,21
228,515,663,0.7036706524789181,12
229,520,608,0.9993931077994398,11
230,544,572,0.718759135090876,12
231,580,643,0.8207948205752985,12
232,585,592,0.8048115117371427,10
233,611,654,0.8593006600529723,29
234,611,663,0.729804408912548,27
235,630,655,0.9139088004080944,11
236,630,663,0.7599888908569873,13
237,630,670,0.9990866604416847,10
238,630,672,0.9984705362990562,12
239,654,655,0.8844579493929285,25
240,654,663,0.9448067099322924,35
241,655,663,0.9347036073405375,24
242,655,670,0.9122440228279449,10
243,655,672,0.9149734134935206,11
244,663,670,0.7568173880669148,11
245,663,672,0.76158409615772,15
246,670,672,0.9983650126784247,10
